Country,Year,Estimated number of road traffic deaths (Both sexes),Estimated number of road traffic deaths (Male),Estimated number of road traffic deaths (Female)
Japan,2019,4566 [4017-5009],3070 [2793-3316],1496 [1224-1693]
Japan,2018,4648 [4112-5089],3127 [2867-3372],1521 [1245-1717]
Japan,2017,4944 [4370-5399],3281 [3010-3528],1663 [1360-1871]
Japan,2016,5224 [4643-5664],3576 [3291-3822],1648 [1351-1842]
Japan,2015,5395 [4793-5840],3623 [3345-3861],1772 [1448-1979]
Japan,2014,5417 [4842-5825],3622 [3360-3835],1795 [1481-1990]
Japan,2013,5781 [5195-6188],3846 [3578-4054],1935 [1617-2133]
Japan,2012,6117 [5505-6530],4010 [3741-4208],2107 [1763-2322]
Japan,2011,6381 [5777-6787],4271 [3998-4472],2110 [1779-2315]
Japan,2010,6844 [6200-7280],4530 [4239-4746],2314 [1961-2534]
Japan,2009,6888 [6255-7324],4617 [4329-4836],2271 [1926-2488]
Japan,2008,7101 [6487-7526],4787 [4505-5005],2314 [1982-2521]
Japan,2007,7945 [7303-8389],5244 [4955-5468],2701 [2348-2921]
Japan,2006,10981 [10159-11554],7456 [7065-7758],3525 [3094-3796]
Japan,2005,12040 [11196-12640],8290 [7873-8614],3750 [3323-4025]
Japan,2004,12930 [12052-13573],8849 [8415-9199],4081 [3637-4374]
Japan,2003,13526 [12632-14180],9234 [8793-9590],4292 [3839-4590]
Japan,2002,14504 [13606-15180],9962 [9513-10341],4542 [4094-4839]
Japan,2001,15414 [14484-16125],10703 [10236-11104],4711 [4248-5021]
Japan,2000,15911 [15018-16596],11095 [10634-11491],4816 [4383-5105]
